"CODE","PAIS","GS_2017","PPP_2018"
"TJK","Tayikistan",7.22881481051445,826.621530538704
"TKM","Turkmenistan",6.93044811487198,6966.63541063077
"TLA","America Latina y el Caribe (BIRF y la AIF)",NA,8924.13335106833
"TLS","Timor-Leste",3.88229340314865,1237.10268208254
"TMN","Oriente Medio y Norte de Africa (BIRF y la AIF)",NA,NA
"TON","Tonga",5.26931136846542,4364.0155613495
"TSA","Asia meridional (BIRF y la AIF)",NA,1899.60923323667
"TSS","Africa al sur del Sahara (BIRF y la AIF)",NA,1589.42515617081
"TTO","Trinidad y Tobago",6.97873532772064,17129.9130902577
"TUN","Tunez",7.23245739936829,3438.78908914627
"TUR","Turquia",4.21630293130875,9370.1763549731
"TUV","Tuvalu",17.1425551176071,3700.74426252192
"TZA","Tanzania",3.6454513669014,1060.99461489421
"UGA","Uganda",6.18775598704815,767.097759575903
"UKR","Ucrania",6.99532032012939,3096.81740221352
"UMC","Ingreso mediano alto",NA,8911.91151883684
"URY","Uruguay",9.29621160030365,17277.9701101852
"USA","Estados Unidos",17.0612692832947,62840.0202387954
"UZB","Uzbekistan",6.41438513994217,1529.08286351335
"VCT","San Vicente y las Granadinas",4.48712520301342,7361.4009618002
"VEN","Venezuela",1.18121011182666,NA
"VGB","Islas Virgenes Britanicas",NA,NA
"VIR","Islas Virgenes (EE.UU.)",NA,NA
"VNM","Viet Nam",5.53212836384773,2566.59694958511
"VUT","Vanuatu",3.31685319542885,3095.70215584493
"WLD","Mundo",NA,11374.8467633071
"WSM","Samoa",5.48278577625752,4183.40803207908
"XKX","Kosovo",NA,4419.91432698449
"YEM","Yemen, Rep. del",NA,968.159047582999
"ZAF","Sudafrica",8.11311826109886,6374.02819575944
"ZMB","Zambia",4.47034128010273,1556.33448154128
"ZWE","Zimbabwe",6.63591623306274,1683.74057709465
