"Code","Country","HDI","infoalawk","d7","d30","%poburb18","%pobrur18","GS_2017","PPP_2018","StringencyIndex","Indice","Apoyo Economico","Densidad (2018)","Desempleo (% al 2019)","Contagd30"
"KWT","Kuwait",0.8084,2,2020-03-01,2020-03-24,100,0,5.2913848310709,33994.3819171507,27.78,-0.0878059,"Sin apoyo",232.172390572391,1,191
"LBN","Lebanon",0.7301,1,2020-02-27,2020-03-21,88.59,11.41,8.19554403424263,8024.80327081387,8.33,-0.6402023,"Sin apoyo",669.494134897361,10,187
"LBR","Liberia",0.4647,1,2020-03-22,2020-04-14,51.15,48.85,8.15533772110939,677.322178545364,74.07,-1.340831,"Sin apoyo",50.0309073920266,3,59
"LKA","Sri Lanka",0.7801,1,2020-02-02,2020-02-25,18.48,81.52,3.81142050027847,4080.56712469552,8.33,-0.2353793,"Sin apoyo",345.558922022006,4,1
"LSO","Lesotho",0.518,2,2020-05-19,2020-06-11,28.15,71.85,8.76315832138062,1221.88376312516,62.04,-0.8609057,"Sin apoyo",69.437812911726,28,4
"LTU","Lithuania",0.8693,2,2020-03-05,2020-03-28,67.68,32.32,6.45756423473358,19080.6173717553,11.11,1.072398,"Sin apoyo",44.7230757742448,7,394
"LUX","Luxembourg",0.9087,2,2020-03-06,2020-03-29,90.98,9.02,5.4810743778944,116654.26106674,11.11,1.778221,"Sin apoyo",250.185185185185,6,1950
"LVA","Latvia",0.8539,1,2020-03-08,2020-03-31,68.14,31.86,5.95566183328629,17805.2803143817,8.33,1.043452,"Sin apoyo",30.9934705693149,9,398
"MAR","Morocco",0.6764,1,2020-03-08,2020-03-31,62.45,37.55,5.24520017206669,3222.20063433213,5.56,-0.2092959,"Sin apoyo",80.7285189334528,10,617
"MDG","Madagascar",0.5207,2,2020-03-26,2020-04-18,37.19,62.81,5.50203807651997,527.501326141803,91.67,-1.153121,"Sin apoyo",45.1398556204881,2,120
"MEX","Mexico",0.7674,0,2020-03-05,2020-03-28,80.16,19.84,5.51654137670994,9673.44367360619,2.78,-0.153388,"Sin apoyo",64.9146264050001,3,848
"MLI","Mali",0.4272,2,2020-03-31,2020-04-23,42.36,57.64,3.79398502409458,900.110164506815,72.22,-1.004638,"Sin apoyo",15.635015858186,8,309
"MNG","Mongolia",0.7347,2,2020-03-16,2020-04-08,68.44,31.56,4.00230102241039,4134.98719823511,57.41,-0.2333477,"Sin apoyo",2.04060866654651,8,16
"MOZ","Mozambique",0.446,2,2020-03-28,2020-04-20,35.99,64.01,4.94119822978973,498.957220208652,47.22,-0.8742813,"Sin apoyo",37.508535313716,25,39
"MRT","Mauritania",0.5271,2,2020-03-20,2020-04-12,53.67,46.33,4.40315157175064,1600.87646860561,57.41,-0.7266325,"Sin apoyo",4.27216357815077,10,7
"MUS","Mauritius",0.7964,0,2020-03-24,2020-04-16,40.79,59.21,5.71872070431709,11208.2273695738,71.3,0.8760849,"Menos del 50% del sueldo",623.30197044335,7,324
"MWI","Malawi",0.4854,2,2020-04-08,2020-05-01,16.94,83.06,9.64823141694069,381.258987601084,56.48,-0.7286705,"Sin apoyo",192.440761561307,20,37
"MYS","Malaysia",0.8042,2,2020-01-31,2020-02-23,76.04,23.96,3.85939814150333,11373.2330025676,19.44,1.075348,"Sin apoyo",95.9628214883579,3,22
"NAM","Namibia",0.645,2,2020-03-20,2020-04-12,50.03,49.97,8.55095684528351,5495.42883582824,50,0.106442,"Sin apoyo",2.97374558175127,34,16
"NER","Niger",0.3766,2,2020-03-26,2020-04-18,16.42,83.58,7.73996263742447,571.526992228733,52.78,-0.7660425,"Sin apoyo",17.7176505881424,0,639
"NGA","Nigeria",0.5341,2,2020-03-05,2020-03-28,50.34,49.66,3.75553853809834,2032.72970882575,11.11,-1.022591,"Sin apoyo",215.064988965381,17,89
"NIC","Nicaragua",0.6511,1,2020-03-25,2020-04-17,58.52,41.48,8.64546522498131,2020.54702818624,8.33,-0.8024699,"Sin apoyo",53.7270483629716,6,9
"NLD","Netherlands",0.9335,0,2020-03-04,2020-03-27,91.49,8.51,10.1008348166943,53048.0962104394,0,1.850466,"Sin apoyo",511.475927574948,5,8647
"NOR","Norway",0.9537,2,2020-03-03,2020-03-26,82.25,17.75,10.4463420808315,81734.4655736102,11.11,1.887119,"Sin apoyo",14.5482916341657,4,3369
"NPL","Nepal",0.5795,2,2020-01-31,2020-02-23,19.74,80.26,5.55329509079456,1038.65164702443,13.89,-0.9023383,"Sin apoyo",195.939107080572,3,1
"NZL","New Zealand",0.9209,2,2020-03-05,2020-03-28,86.54,13.46,9.1700553894043,42949.9305849512,19.44,1.670251,"Sin apoyo",18.3851733697923,5,451
